trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,tripduration_mins,trip_date,trip_day,trip_month,trip_hour,age,gender_cleaned,usertype_cleaned
25852161,2019-12-09 07:32:59 UTC,2019-12-09 07:35:36 UTC,1940,156,108,Halsted St & Polk St,109,900 W Harrison St,Subscriber,Male,1950,2.6,2019-12-09,9,12,7,75,Male,Subscriber
24874378,2019-09-10 11:55:37 UTC,2019-09-10 12:04:01 UTC,3960,504,14,Morgan St & 18th St,109,900 W Harrison St,Customer,Male,2001,8.4,2019-09-10,10,9,11,24,Male,Customer
25749737,2019-11-21 15:55:55 UTC,2019-11-21 15:59:21 UTC,1795,206,109,900 W Harrison St,21,Aberdeen St & Jackson Blvd,Customer,Male,2001,3.43,2019-11-21,21,11,15,24,Male,Customer
25597909,2019-10-29 15:13:53 UTC,2019-10-29 15:21:14 UTC,3897,440,638,Clinton St & Jackson Blvd,80,Aberdeen St & Monroe St,Subscriber,Female,1951,7.33,2019-10-29,29,10,15,74,Female,Subscriber
22366031,2019-04-19 16:17:14 UTC,2019-04-19 16:27:22 UTC,3084,608,40,LaSalle St & Adams St,80,Aberdeen St & Monroe St,Subscriber,Male,1958,10.13,2019-04-19,19,4,16,67,Male,Subscriber
25101285,2019-09-23 08:23:00 UTC,2019-09-23 08:32:50 UTC,2990,590,91,Clinton St & Washington Blvd,346,Ada St & Washington Blvd,Subscriber,Male,1957,9.83,2019-09-23,23,9,8,68,Male,Subscriber
23729502,2019-07-13 11:23:08 UTC,2019-07-13 12:08:58 UTC,1860,2750,90,Millennium Park,341,Adler Planetarium,Customer,Male,1955,45.83,2019-07-13,13,7,11,70,Male,Customer
23656224,2019-07-10 01:08:07 UTC,2019-07-10 01:25:30 UTC,4834,1043,487,California Ave & Byron St,246,Ashland Ave & Belle Plaine Ave,Subscriber,Female,1959,17.38,2019-07-10,10,7,1,66,Female,Subscriber
25297528,2019-10-06 09:58:21 UTC,2019-10-06 10:17:36 UTC,6404,1154,74,Kingsbury St & Erie St,210,Ashland Ave & Division St,Subscriber,Male,1957,19.23,2019-10-06,6,10,9,68,Male,Subscriber
23739960,2019-07-13 17:21:50 UTC,2019-07-13 17:55:30 UTC,5682,2020,152,Lincoln Ave & Diversey Pkwy,347,Ashland Ave & Grace St,Subscriber,Male,1954,33.67,2019-07-13,13,7,17,71,Male,Subscriber
22305220,2019-04-13 11:07:39 UTC,2019-04-13 11:39:02 UTC,1309,1883,486,Oakley Ave & Irving Park Rd,347,Ashland Ave & Grace St,Subscriber,Male,1954,31.38,2019-04-13,13,4,11,71,Male,Subscriber
23303390,2019-06-22 14:40:38 UTC,2019-06-22 15:03:31 UTC,4790,1373,77,Clinton St & Madison St,119,Ashland Ave & Lake St (Temp),Customer,Male,2000,22.88,2019-06-22,22,6,14,25,Male,Customer
21978894,2019-02-28 10:50:23 UTC,2019-02-28 11:07:38 UTC,2645,1035,405,Wentworth Ave & 35th St,547,Ashland Ave & Pershing Rd,Subscriber,Male,1948,17.25,2019-02-28,28,2,10,77,Male,Subscriber
23191548,2019-06-16 11:00:53 UTC,2019-06-16 11:09:05 UTC,2598,492,257,Lincoln Ave & Waveland Ave,250,Ashland Ave & Wellington Ave,Subscriber,Male,1959,8.2,2019-06-16,16,6,11,66,Male,Subscriber
24455858,2019-08-18 19:14:34 UTC,2019-08-18 19:15:55 UTC,2388,80,532,Austin Blvd & Lake St,532,Austin Blvd & Lake St,Customer,Male,2002,1.33,2019-08-18,18,8,19,23,Male,Customer
23283884,2019-06-21 15:55:50 UTC,2019-06-21 16:13:14 UTC,5331,1044,597,Chicago Ave & Washington St,596,Benson Ave & Church St,Subscriber,Female,1957,17.4,2019-06-21,21,6,15,68,Female,Subscriber
22434671,2019-04-24 18:20:16 UTC,2019-04-24 18:25:07 UTC,4432,291,600,Dodge Ave & Church St,596,Benson Ave & Church St,Subscriber,Male,1954,4.85,2019-04-24,24,4,18,71,Male,Subscriber
25278698,2019-10-04 16:11:18 UTC,2019-10-04 16:18:44 UTC,2548,445,605,University Library (NU),596,Benson Ave & Church St,Subscriber,Female,1959,7.42,2019-10-04,4,10,16,66,Female,Subscriber
22913066,2019-05-31 15:51:32 UTC,2019-05-31 16:07:36 UTC,2240,964,113,Bissell St & Armitage Ave,113,Bissell St & Armitage Ave,Subscriber,Male,1958,16.07,2019-05-31,31,5,15,67,Male,Subscriber
25859467,2019-12-10 07:36:09 UTC,2019-12-10 07:38:39 UTC,4834,149,225,Halsted St & Dickens Ave,113,Bissell St & Armitage Ave,Subscriber,,1955,2.48,2019-12-10,10,12,7,70,Unknown,Subscriber
23433796,2019-06-28 17:53:36 UTC,2019-06-28 18:28:46 UTC,4780,2110,57,Clinton St & Roosevelt Rd,129,Blue Island Ave & 18th St,Subscriber,Female,2001,35.17,2019-06-28,28,6,17,24,Female,Subscriber
22166660,2019-03-29 14:44:39 UTC,2019-03-29 14:50:31 UTC,5982,352,294,Broadway & Berwyn Ave,295,Broadway & Argyle St,Customer,Male,1955,5.87,2019-03-29,29,3,14,70,Male,Customer
25011433,2019-09-17 18:34:40 UTC,2019-09-17 18:46:01 UTC,4129,680,256,Broadway & Sheridan Rd,295,Broadway & Argyle St,Subscriber,Female,1957,11.33,2019-09-17,17,9,18,68,Female,Subscriber
21930267,2019-02-16 13:57:03 UTC,2019-02-16 14:27:16 UTC,1187,1813,13,Wilton Ave & Diversey Pkwy,295,Broadway & Argyle St,Subscriber,Female,1959,30.22,2019-02-16,16,2,13,66,Female,Subscriber
24912789,2019-09-12 13:12:38 UTC,2019-09-12 13:19:27 UTC,1981,409,117,Wilton Ave & Belmont Ave,300,Broadway & Barry Ave,Subscriber,Male,1949,6.82,2019-09-12,12,9,13,76,Male,Subscriber
23070668,2019-06-08 18:39:31 UTC,2019-06-08 18:42:46 UTC,87,195,303,Broadway & Cornelia Ave,296,Broadway & Belmont Ave,Subscriber,Male,1957,3.25,2019-06-08,8,6,18,68,Male,Subscriber
22759925,2019-05-22 10:43:37 UTC,2019-05-22 10:52:40 UTC,241,543,254,Pine Grove Ave & Irving Park Rd,296,Broadway & Belmont Ave,Subscriber,Female,1956,9.05,2019-05-22,22,5,10,69,Female,Subscriber
23651035,2019-07-09 18:21:35 UTC,2019-07-09 18:29:18 UTC,5145,462,325,Clark St & Winnemac Ave,294,Broadway & Berwyn Ave,Subscriber,Male,1952,7.7,2019-07-09,9,7,18,73,Male,Subscriber
24166707,2019-08-04 12:43:57 UTC,2019-08-04 13:17:50 UTC,5224,2032,177,Theater on the Lake,294,Broadway & Berwyn Ave,Subscriber,Male,1954,33.87,2019-08-04,4,8,12,71,Male,Subscriber
24206621,2019-08-06 09:06:14 UTC,2019-08-06 09:16:04 UTC,937,589,229,Southport Ave & Roscoe St,303,Broadway & Cornelia Ave,Subscriber,Male,1955,9.82,2019-08-06,6,8,9,70,Male,Subscriber
22665987,2019-05-15 10:50:22 UTC,2019-05-15 11:28:32 UTC,6185,2290,625,Chicago Ave & Dempster St,454,Broadway & Granville Ave,Subscriber,Male,1953,38.17,2019-05-15,15,5,10,72,Male,Subscriber
